1,2018-03-30,23
8,2018-10-24,9
1,2018-03-18,194
6,2018-12-06,95
7,2018-08-02,73
8,2018-07-04,206
8,2018-02-17,138
10,2018-02-16,341
1,2018-12-16,147
8,2018-09-02,78
9,2018-11-30,223
10,2018-09-25,154
1,2018-09-01,204
2,2018-02-05,173
10,2018-08-09,162
10,2018-08-04,32
4,2018-05-07,394
10,2018-05-20,185
6,2018-08-27,366
6,2018-07-15,285
9,2018-02-18,59
2,2018-08-30,162
4,2018-10-31,334
5,2018-01-23,63
7,2018-12-08,124
10,2018-01-03,122
10,2018-10-23,214
5,2018-09-01,340
9,2018-05-05,246
4,2018-01-29,238
5,2018-07-10,30
8,2018-02-15,261
2,2018-07-06,199
8,2018-11-04,61
4,2018-05-23,257
9,2018-08-13,354
10,2018-10-17,23
1,2018-10-02,393
4,2018-04-16,314
1,2018-03-02,47
4,2018-06-06,256
9,2018-09-20,14
7,2018-03-28,191
2,2018-04-22,229
5,2018-05-15,224
6,2018-09-11,153
3,2018-01-13,139
1,2018-02-23,352
3,2018-11-26,6
4,2018-10-15,189
5,2018-10-06,168
8,2018-11-05,50
9,2018-10-21,72
7,2018-06-20,357
8,2018-09-18,97
2,2018-09-25,166
4,2018-05-14,302
7,2018-10-05,101
10,2018-08-27,305
3,2018-01-10,173
7,2018-10-11,78
2,2018-01-09,123
5,2018-08-24,157
8,2018-08-08,289
10,2018-08-15,5
10,2018-03-24,326
7,2018-02-16,168
10,2018-05-01,64
5,2018-06-09,205
1,2018-07-14,145
4,2018-06-22,295
5,2018-11-11,243
9,2018-05-17,147
1,2018-05-25,237
4,2018-12-01,394
4,2018-07-27,190
5,2018-11-02,258
2,2018-06-26,21
8,2018-10-31,233
8,2018-03-14,245
3,2018-12-04,352
4,2018-12-03,105
6,2018-07-05,77
6,2018-10-03,390
3,2018-06-12,9
1,2018-11-22,276
9,2018-05-31,433
1,2018-09-27,98
5,2018-01-04,201
9,2018-08-02,30
3,2018-02-11,247
8,2018-04-13,114
4,2018-05-13,155
1,2018-01-16,397
2,2018-08-29,322
6,2018-08-28,44
3,2018-07-28,369
4,2018-07-25,435
5,2018-01-27,6
2,2018-09-07,196
6,2018-02-12,276
7,2018-06-26,67
8,2018-11-10,396
5,2018-10-26,250
10,2018-12-10,311
4,2018-08-17,179
9,2018-03-16,5
3,2018-04-27,287
1,2018-10-19,13
9,2018-06-10,143
1,2018-04-19,182
3,2018-06-28,310
3,2018-02-10,146
7,2018-03-31,24
5,2018-08-14,377
2,2018-03-14,160
4,2018-05-21,172
8,2018-09-13,397
7,2018-07-11,425
5,2018-08-01,159
2,2018-04-17,139
2,2018-02-22,642
4,2018-05-19,668
6,2018-03-06,383
6,2018-02-09,200
3,2018-03-30,376
9,2018-01-05,99
7,2018-07-03,209
8,2018-01-02,222
9,2018-06-22,1
3,2018-11-17,196
3,2018-11-03,359
9,2018-05-24,13
1,2018-12-09,304
9,2018-10-18,315
1,2018-10-10,221
7,2018-11-08,99
9,2018-09-08,334
4,2018-03-16,220
7,2018-09-06,107
3,2018-03-11,107
8,2018-04-26,399
4,2018-05-04,73
10,2018-05-12,41
2,2018-05-10,56
2,2018-05-02,6
2,2018-02-24,39
7,2018-02-09,149
8,2018-08-29,330
2,2018-01-07,139
7,2018-04-13,126
9,2018-05-13,334
2,2018-07-08,269
8,2018-08-28,32
4,2018-06-25,290
7,2018-02-06,285
1,2018-12-05,140
4,2018-04-03,303
6,2018-11-10,3
9,2018-02-04,228
6,2018-01-01,249
3,2018-10-26,247
3,2018-01-14,126
6,2018-10-13,334
3,2018-01-27,46
5,2018-10-30,339
9,2018-07-17,360
9,2018-04-16,329
10,2018-02-02,390
3,2018-11-23,345
7,2018-11-05,397
1,2018-07-26,299
4,2018-03-20,37
6,2018-09-17,239
8,2018-10-14,355
3,2018-06-11,396
6,2018-04-20,110
6,2018-04-04,436
4,2018-11-25,390
7,2018-12-14,78
6,2018-07-07,386
1,2018-12-02,38
3,2018-02-08,256
6,2018-11-04,315
9,2018-05-03,234
1,2018-03-07,81
7,2018-05-30,236
3,2018-11-02,290
8,2018-08-09,337
5,2018-06-15,45
5,2018-04-14,51
5,2018-03-26,150
10,2018-11-01,264
1,2018-05-09,11
7,2018-03-12,316
1,2018-08-07,307
6,2018-07-19,41
2,2018-12-14,254
3,2018-04-09,549
5,2018-02-11,42
5,2018-06-17,133
8,2018-03-28,91
2,2018-09-22,343
7,2018-12-11,433
1,2018-08-22,124
10,2018-07-27,172
5,2018-01-20,4
10,2018-03-01,262
8,2018-01-09,46
7,2018-12-03,59
10,2018-05-30,359
10,2018-02-03,62
5,2018-04-08,344
7,2018-09-02,57
8,2018-12-06,352
1,2018-07-30,16
7,2018-08-18,296
10,2018-08-31,121
5,2018-09-12,144
9,2018-05-10,227
9,2018-05-02,241
10,2018-04-20,289
8,2018-05-06,363
6,2018-09-08,82
8,2018-08-19,322
4,2018-03-22,3
1,2018-11-07,130
4,2018-09-28,121
6,2018-10-18,252
8,2018-02-20,312
2,2018-11-01,245
9,2018-04-17,187
1,2018-05-16,78
5,2018-07-13,253
7,2018-02-17,198
10,2018-01-08,384
1,2018-04-27,383
7,2018-07-24,135
4,2018-01-28,38
6,2018-03-25,104
6,2018-12-13,93
6,2018-09-03,345
6,2018-05-11,132
4,2018-08-21,383
8,2018-08-30,96
8,2018-05-21,234
7,2018-08-16,52
7,2018-07-17,26
7,2018-06-06,166
9,2018-09-18,37
2,2018-06-08,107
3,2018-11-27,301
6,2018-06-03,158
9,2018-07-19,140
5,2018-11-28,331
7,2018-06-24,153
1,2018-07-21,250
7,2018-01-29,192
6,2018-12-20,184
7,2018-11-19,662
7,2018-03-13,81
1,2018-02-27,194
6,2018-06-27,297
1,2018-06-02,123
1,2018-01-13,116
7,2018-12-20,250
8,2018-05-05,313
3,2018-11-24,302
9,2018-02-15,132
4,2018-08-26,99
10,2018-09-14,190
1,2018-01-10,319
3,2018-06-29,224
5,2018-12-09,86
9,2018-03-09,156
4,2018-11-18,117
9,2018-05-27,172
10,2018-01-07,67
4,2018-06-20,252
4,2018-02-26,282
5,2018-04-18,257
6,2018-07-20,366
6,2018-10-20,216
3,2018-10-16,92
3,2018-04-15,233
7,2018-07-12,184
1,2018-05-28,226
6,2018-11-22,320
2,2018-11-20,256
2,2018-04-25,231
6,2018-06-13,173
10,2018-11-23,139
1,2018-10-03,377
1,2018-09-28,70
10,2018-06-11,133
3,2018-07-24,227
4,2018-03-03,92
10,2018-08-14,29
5,2018-03-19,45
7,2018-04-19,238
8,2018-04-18,398
3,2018-10-24,20
4,2018-09-26,124
1,2018-01-02,199
2,2018-06-13,283
5,2018-09-20,16
6,2018-02-01,38
3,2018-05-11,121
2,2018-09-15,90
4,2018-01-15,115
6,2018-12-19,283
3,2018-12-13,341
1,2018-09-07,264
3,2018-03-25,356
3,2018-08-18,158
4,2018-12-21,239
8,2018-05-26,141
6,2018-03-17,103
9,2018-01-21,143
1,2018-04-23,313
3,2018-08-03,397
4,2018-10-28,648
4,2018-04-14,321
7,2018-09-27,197
9,2018-03-18,290
10,2018-07-31,234
3,2018-05-24,255
4,2018-07-30,23
5,2018-06-18,360
10,2018-07-22,133
3,2018-03-13,279
6,2018-12-07,372
9,2018-03-27,169
1,2018-10-14,165
6,2018-10-22,61
7,2018-08-11,238
7,2018-04-06,227
6,2018-01-23,295
6,2018-07-16,351
7,2018-03-08,113
2,2018-10-08,189
4,2018-07-02,288
7,2018-06-05,267
2,2018-04-28,32
8,2018-10-25,337
3,2018-06-03,310
4,2018-02-25,203
5,2018-10-17,283
6,2018-04-15,362
7,2018-05-18,271
8,2018-04-30,33
3,2018-09-30,90
3,2018-08-12,21
4,2018-09-29,22
7,2018-01-06,150
5,2018-12-08,127
6,2018-11-24,177
7,2018-10-08,222
9,2018-06-01,178
3,2018-05-03,153
9,2018-01-30,332
3,2018-05-23,173
10,2018-09-04,121
10,2018-03-15,196
3,2018-06-27,356
5,2018-12-18,130
5,2018-01-17,205
9,2018-02-08,289
2,2018-06-30,319
5,2018-05-20,81
1,2018-10-23,121
9,2018-01-16,83
1,2018-04-03,113
4,2018-12-15,256
7,2018-07-10,219
4,2018-09-19,130
7,2018-01-26,322
2,2018-02-14,167
3,2018-03-06,245
4,2018-05-26,388
5,2018-01-03,62
10,2018-07-16,267
10,2018-01-06,6
8,2018-06-12,337
1,2018-01-17,71
9,2018-06-16,108
9,2018-09-21,238
10,2018-04-28,80
2,2018-03-11,277
5,2018-02-26,154
8,2018-07-28,242
9,2018-04-25,267
6,2018-11-29,152
1,2018-07-15,276
9,2018-11-09,214
9,2018-05-25,16
9,2018-06-19,34
10,2018-03-08,291
1,2018-04-05,346
5,2018-04-22,346
1,2018-04-29,306
5,2018-08-26,37
6,2018-01-26,35
7,2018-06-09,66
7,2018-06-04,32
2,2018-05-15,125
10,2018-06-05,384
1,2018-05-01,60
7,2018-11-03,182
9,2018-08-06,7
2,2018-09-04,154
1,2018-08-15,53
1,2018-03-24,216
3,2018-11-08,398
9,2018-11-13,336
10,2018-10-16,36
6,2018-08-05,48
2,2018-01-14,10
3,2018-02-03,316
4,2018-09-10,305
4,2018-08-07,375
3,2018-01-11,229
4,2018-11-14,101
7,2018-10-27,91
4,2018-02-13,258
3,2018-09-17,289
10,2018-03-04,21
1,2018-12-12,142
3,2018-01-24,300
4,2018-03-07,318
9,2018-06-29,14
8,2018-11-15,380
4,2018-05-09,95
5,2018-04-23,63
7,2018-07-22,180
5,2018-07-05,127
4,2018-03-10,28
5,2018-11-30,229
7,2018-01-25,252
5,2018-01-28,199
4,2018-04-01,449
8,2018-02-27,29
1,2018-01-18,48
4,2018-11-12,156
8,2018-06-02,288
3,2018-01-08,34
5,2018-03-31,363
10,2018-06-16,149
9,2018-02-21,46
10,2018-12-19,5
2,2018-07-01,24
1,2018-06-08,209
10,2018-10-12,107
3,2018-10-11,294
1,2018-10-15,344
4,2018-12-17,87
9,2018-01-22,279
8,2018-11-11,139
1,2018-08-16,334
4,2018-10-22,340
4,2018-12-07,138
5,2018-05-07,176
6,2018-02-25,220
4,2018-11-27,133
7,2018-11-15,311
8,2018-07-31,79
9,2018-12-02,59
9,2018-07-13,88
9,2018-11-28,130
1,2018-02-02,255
1,2018-08-17,93
9,2018-11-21,59
3,2018-09-13,77
6,2018-06-21,311
3,2018-08-21,263
3,2018-02-18,88
8,2018-11-17,320
6,2018-06-15,282
8,2018-10-04,236
9,2018-09-19,246
5,2018-04-10,379
5,2018-01-11,264
8,2018-12-16,7
9,2018-09-05,390
4,2018-07-14,122
9,2018-06-14,120
8,2018-03-15,382
4,2018-06-19,348
5,2018-01-24,85
4,2018-11-09,228
2,2018-06-23,217
10,2018-03-26,21
3,2018-07-29,230
1,2018-04-10,235
6,2018-07-26,397
10,2018-12-04,224
1,2018-05-27,58
1,2018-03-09,332
1,2018-10-13,206
1,2018-01-01,67
2,2018-11-12,260
4,2018-10-27,380
9,2018-02-07,23
10,2018-03-23,371
7,2018-01-22,376
6,2018-08-22,36
7,2018-03-05,343
8,2018-04-06,312
6,2018-11-14,156
7,2018-07-09,24
7,2018-03-10,390
3,2018-04-24,154
9,2018-09-16,196
4,2018-11-29,325
6,2018-10-07,22
10,2018-04-07,164
2,2018-10-12,202
2,2018-04-11,379
6,2018-03-29,387
8,2018-11-20,227
9,2018-10-30,50
9,2018-04-21,345
6,2018-04-02,45
9,2018-06-28,387
5,2018-08-12,168
2,2018-10-07,395
10,2018-08-25,326
8,2018-10-01,297
10,2018-07-02,303
10,2018-08-01,113
8,2018-02-19,165
1,2018-09-14,58
4,2018-08-24,30
7,2018-06-14,352
8,2018-10-19,81
6,2018-10-09,213
8,2018-09-21,344
2,2018-12-15,19
7,2018-11-16,297
7,2018-01-18,1
9,2018-08-04,211
6,2018-12-12,361
1,2018-06-01,243
9,2018-10-05,137
10,2018-03-22,196
6,2018-12-10,162
1,2018-06-30,377
10,2018-11-18,253
7,2018-02-20,228
